complex_id	complex_name	protein_id
DECOY_1028	DECOY_HNF4A-SUB1 complex	Q9UPN6
DECOY_1029	DECOY_TFIIH transcription factor complex	P12956
DECOY_1029	DECOY_TFIIH transcription factor complex	Q6R327
DECOY_1029	DECOY_TFIIH transcription factor complex	P19338
DECOY_1029	DECOY_TFIIH transcription factor complex	P54278
DECOY_1029	DECOY_TFIIH transcription factor complex	P06756
DECOY_1029	DECOY_TFIIH transcription factor complex	Q9BZK7
DECOY_1029	DECOY_TFIIH transcription factor complex	P15927
DECOY_1029	DECOY_TFIIH transcription factor complex	Q9H3R5
DECOY_1029	DECOY_TFIIH transcription factor complex	P01116
DECOY_1029	DECOY_TFIIH transcription factor complex	O15198
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q00653
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q9NRF9
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q96L91
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q86VP6
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q96S59
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q04724
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q9UHI5
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	P49757
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	P78367
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q5S007
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q9ULG1
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	P30279
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q15796
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	P62306
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q6FI13
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	P23246
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q92878
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q9Y4D7
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	O43678
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q16576
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q9H074
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q9UPN9
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	O43516
DECOY_103	DECOY_RNA polymerase II holoenzyme complex	Q13797
DECOY_1030	DECOY_CAK-ERCC2 complex	Q969G3
DECOY_1030	DECOY_CAK-ERCC2 complex	Q9H3R5
DECOY_1030	DECOY_CAK-ERCC2 complex	O43913
DECOY_1030	DECOY_CAK-ERCC2 complex	P38919
DECOY_1031	DECOY_ORC complex (origin recognition complex)	Q99638
DECOY_1031	DECOY_ORC complex (origin recognition complex)	O95299
DECOY_1031	DECOY_ORC complex (origin recognition complex)	Q8IXK0
DECOY_1031	DECOY_ORC complex (origin recognition complex)	P38398
DECOY_1031	DECOY_ORC complex (origin recognition complex)	Q9H204
DECOY_1031	DECOY_ORC complex (origin recognition complex)	P62312
DECOY_1032	DECOY_ORC 2-4 complex (origin recognition 2-4 complex)	P27986
DECOY_1032	DECOY_ORC 2-4 complex (origin recognition 2-4 complex)	Q12770
DECOY_1032	DECOY_ORC 2-4 complex (origin recognition 2-4 complex)	Q12824
DECOY_1033	DECOY_ORC complex (origin recognition complex)	P84090
DECOY_1033	DECOY_ORC complex (origin recognition complex)	Q92793
DECOY_1033	DECOY_ORC complex (origin recognition complex)	Q969G3
DECOY_1033	DECOY_ORC complex (origin recognition complex)	P62701
DECOY_1033	DECOY_ORC complex (origin recognition complex)	Q8WYQ5
DECOY_1033	DECOY_ORC complex (origin recognition complex)	P50613
DECOY_1034	DECOY_ORC 2-5 complex (origin recognition 2-5 complex)	P52434
DECOY_1034	DECOY_ORC 2-5 complex (origin recognition 2-5 complex)	O60231
DECOY_1034	DECOY_ORC 2-5 complex (origin recognition 2-5 complex)	P61247
DECOY_1034	DECOY_ORC 2-5 complex (origin recognition 2-5 complex)	Q15329
DECOY_1036	DECOY_TFIIH transcription factor complex	P06400
DECOY_1036	DECOY_TFIIH transcription factor complex	P23229
DECOY_1036	DECOY_TFIIH transcription factor complex	P78527
DECOY_1036	DECOY_TFIIH transcription factor complex	Q9Y6J9
DECOY_1036	DECOY_TFIIH transcription factor complex	O43752
DECOY_1036	DECOY_TFIIH transcription factor complex	O60264
DECOY_1036	DECOY_TFIIH transcription factor complex	Q92896
DECOY_1036	DECOY_TFIIH transcription factor complex	Q15648
DECOY_1036	DECOY_TFIIH transcription factor complex	Q7L5N1
DECOY_1037	DECOY_TFIIH transcription factor core complex	Q92990
DECOY_1037	DECOY_TFIIH transcription factor core complex	P06756
DECOY_1037	DECOY_TFIIH transcription factor core complex	Q9Y5S9
DECOY_1037	DECOY_TFIIH transcription factor core complex	Q13547
DECOY_1037	DECOY_TFIIH transcription factor core complex	Q92831
DECOY_1038	DECOY_ORC 1-5 complex (origin recognition 1-5 complex)	P68431
DECOY_1038	DECOY_ORC 1-5 complex (origin recognition 1-5 complex)	Q15393
DECOY_1038	DECOY_ORC 1-5 complex (origin recognition 1-5 complex)	P40937
DECOY_1038	DECOY_ORC 1-5 complex (origin recognition 1-5 complex)	P12004
DECOY_1038	DECOY_ORC 1-5 complex (origin recognition 1-5 complex)	O43463
DECOY_1039	DECOY_PCNA-PAF complex	Q9BUN8
DECOY_1039	DECOY_PCNA-PAF complex	P37173
DECOY_104	DECOY_RNA polymerase II core complex	Q9UJF2
DECOY_104	DECOY_RNA polymerase II core complex	Q02880
DECOY_104	DECOY_RNA polymerase II core complex	Q9NPJ6
DECOY_104	DECOY_RNA polymerase II core complex	P06241
DECOY_104	DECOY_RNA polymerase II core complex	Q9BS16
DECOY_104	DECOY_RNA polymerase II core complex	Q9NWA0
DECOY_104	DECOY_RNA polymerase II core complex	Q5S007
DECOY_104	DECOY_RNA polymerase II core complex	Q16181
DECOY_104	DECOY_RNA polymerase II core complex	Q9Y2X7
DECOY_104	DECOY_RNA polymerase II core complex	P46109
DECOY_104	DECOY_RNA polymerase II core complex	P25490
DECOY_104	DECOY_RNA polymerase II core complex	Q08881
DECOY_1040	DECOY_p33ING1b-PCNA complex	P25789
DECOY_1040	DECOY_p33ING1b-PCNA complex	Q9UBU8
DECOY_1042	DECOY_SRA-SRC-1 ribonucleoprotein complex	Q96BI3
DECOY_1042	DECOY_SRA-SRC-1 ribonucleoprotein complex	Q96HW7
DECOY_1045	DECOY_Snurportin-CRM1-RanGTP complex	P51787
DECOY_1045	DECOY_Snurportin-CRM1-RanGTP complex	O43502
DECOY_1045	DECOY_Snurportin-CRM1-RanGTP complex	Q96GM5
DECOY_105	DECOY_Polycomb repressive complex 2 (PRC 2)	P40937
DECOY_105	DECOY_Polycomb repressive complex 2 (PRC 2)	O15111
DECOY_105	DECOY_Polycomb repressive complex 2 (PRC 2)	O75529
DECOY_105	DECOY_Polycomb repressive complex 2 (PRC 2)	P13010
DECOY_105	DECOY_Polycomb repressive complex 2 (PRC 2)	O14497
DECOY_1051	DECOY_Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	O95251
DECOY_1051	DECOY_Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	Q07666
DECOY_1051	DECOY_Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	Q15075
DECOY_1051	DECOY_Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	P19338
DECOY_1052	DECOY_Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	P62318
DECOY_1052	DECOY_Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	P35222
DECOY_1052	DECOY_Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	P68400
DECOY_1052	DECOY_Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	Q9UKV8
DECOY_1054	DECOY_ESR1-RELA-BCL3-NCOA3 complex	Q15370
DECOY_1054	DECOY_ESR1-RELA-BCL3-NCOA3 complex	Q16637
DECOY_1054	DECOY_ESR1-RELA-BCL3-NCOA3 complex	O15519
DECOY_1054	DECOY_ESR1-RELA-BCL3-NCOA3 complex	P62316
DECOY_1055	DECOY_ZNF198-PML complex	O60341
DECOY_1055	DECOY_ZNF198-PML complex	Q00403
DECOY_1056	DECOY_ZNF198-SUMO1 complex	Q9Y5Q9
DECOY_1056	DECOY_ZNF198-SUMO1 complex	P83436
DECOY_1057	DECOY_DIPA-MCRS1 complex	Q7RTV0
DECOY_1057	DECOY_DIPA-MCRS1 complex	Q13547
DECOY_1058	DECOY_SNX complex (SNX1, SNX6)	P13984
DECOY_1058	DECOY_SNX complex (SNX1, SNX6)	O95169
DECOY_1059	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q9BPX3
DECOY_1059	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q9UBL3
DECOY_1059	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q8IU60
DECOY_1059	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q14683
DECOY_1059	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	Q96HW7
DECOY_1060	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	O95347
DECOY_1060	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	O60830
DECOY_1060	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	Q96FV9
DECOY_1060	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	Q9HCE1
DECOY_1060	DECOY_Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	P50750
DECOY_1062	DECOY_BAR-BCL2-CASP8 complex	P51531
DECOY_1062	DECOY_BAR-BCL2-CASP8 complex	O95402
DECOY_1062	DECOY_BAR-BCL2-CASP8 complex	P22612
DECOY_1063	DECOY_GRASP-GRP1 complex	Q5W141
DECOY_1063	DECOY_GRASP-GRP1 complex	P62877
DECOY_1064	DECOY_IFP35-NMI complex	Q9NX20
DECOY_1064	DECOY_IFP35-NMI complex	P54278
DECOY_1067	DECOY_CD8A-LCK complex	Q9UPN7
DECOY_1067	DECOY_CD8A-LCK complex	P68431
DECOY_1068	DECOY_12S U11 snRNP	Q13158
DECOY_1068	DECOY_12S U11 snRNP	O94776
DECOY_1068	DECOY_12S U11 snRNP	Q9UIW2
DECOY_1068	DECOY_12S U11 snRNP	Q9NR33
DECOY_1068	DECOY_12S U11 snRNP	P08107
DECOY_1068	DECOY_12S U11 snRNP	P82921
DECOY_1068	DECOY_12S U11 snRNP	Q9H9A7
DECOY_1068	DECOY_12S U11 snRNP	A1A4S6
DECOY_1068	DECOY_12S U11 snRNP	O75446
DECOY_1068	DECOY_12S U11 snRNP	Q9UBL3
DECOY_1068	DECOY_12S U11 snRNP	Q8N257
DECOY_1068	DECOY_12S U11 snRNP	P08648
DECOY_1068	DECOY_12S U11 snRNP	Q13367
DECOY_1068	DECOY_12S U11 snRNP	Q9Y4A5
DECOY_1068	DECOY_12S U11 snRNP	Q96GM5
DECOY_1069	DECOY_FIF-FGR2 complex	Q969G3
DECOY_1069	DECOY_FIF-FGR2 complex	O75947
DECOY_107	DECOY_TFIIH transcription factor complex	P56539
DECOY_107	DECOY_TFIIH transcription factor complex	Q8NFD5
DECOY_107	DECOY_TFIIH transcription factor complex	P06493
DECOY_107	DECOY_TFIIH transcription factor complex	O14786
DECOY_107	DECOY_TFIIH transcription factor complex	P49450
DECOY_107	DECOY_TFIIH transcription factor complex	Q9P2I0
DECOY_107	DECOY_TFIIH transcription factor complex	Q9Y2W1
DECOY_107	DECOY_TFIIH transcription factor complex	P62753
DECOY_107	DECOY_TFIIH transcription factor complex	Q7Z7H8
DECOY_1070	DECOY_SNX complex (SNX1a, SNX2, SNX4)	P62314
DECOY_1070	DECOY_SNX complex (SNX1a, SNX2, SNX4)	P60842
DECOY_1070	DECOY_SNX complex (SNX1a, SNX2, SNX4)	Q02952
DECOY_1071	DECOY_PKD2-FPC complex	Q69YN4
DECOY_1071	DECOY_PKD2-FPC complex	Q9Y3F4
DECOY_1072	DECOY_SNX complex (SNX2), oligomeric	O15212
DECOY_1078	DECOY_MSH2-MSH6 complex	P49959
DECOY_1078	DECOY_MSH2-MSH6 complex	O94805
DECOY_1079	DECOY_P-TEFb.1 complex	Q96JB8
DECOY_1079	DECOY_P-TEFb.1 complex	Q8TAQ2
DECOY_1080	DECOY_P-TEFb.2 complex	P35250
DECOY_1080	DECOY_P-TEFb.2 complex	Q92831
DECOY_1081	DECOY_MRN complex (MRE11-RAD50-NBN complex)	P06748
DECOY_1081	DECOY_MRN complex (MRE11-RAD50-NBN complex)	P06400
DECOY_1081	DECOY_MRN complex (MRE11-RAD50-NBN complex)	P51858
DECOY_1082	DECOY_P-TEFb.1 complex	Q9Y3B2
DECOY_1082	DECOY_P-TEFb.1 complex	P49368
DECOY_1083	DECOY_P-TEFb.4 complex	P18887
DECOY_1083	DECOY_P-TEFb.4 complex	P27694
DECOY_1085	DECOY_DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P63208
DECOY_1085	DECOY_DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	O14744
DECOY_1085	DECOY_DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	Q13098
DECOY_1085	DECOY_DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	Q15648
DECOY_1085	DECOY_DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P49959
DECOY_1086	DECOY_DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P62891
DECOY_1086	DECOY_DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	P23246
DECOY_1086	DECOY_DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	Q13042
DECOY_1086	DECOY_DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	Q9UNS2
DECOY_1086	DECOY_DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	Q92878
DECOY_1087	DECOY_BIRC5-AURKB-INCENP-EVI5 complex	Q9Y6K9
DECOY_1087	DECOY_BIRC5-AURKB-INCENP-EVI5 complex	P40763
DECOY_1087	DECOY_BIRC5-AURKB-INCENP-EVI5 complex	Q92674
DECOY_1087	DECOY_BIRC5-AURKB-INCENP-EVI5 complex	P29474
DECOY_1088	DECOY_PRNP-ApolopoproteinE3 complex	P22694
DECOY_1088	DECOY_PRNP-ApolopoproteinE3 complex	Q07812
DECOY_1089	DECOY_VAM1-VELI1 complex	Q9UDY8
DECOY_1089	DECOY_VAM1-VELI1 complex	P49336
DECOY_1090-1	DECOY_APLG1-Rababtin5 complex-1	Q7Z5R6
DECOY_1090-1	DECOY_APLG1-Rababtin5 complex-1	Q14683
DECOY_1090-2	DECOY_APLG1-Rababtin5 complex-2	O96019
DECOY_1090-2	DECOY_APLG1-Rababtin5 complex-2	P00403
DECOY_1091	DECOY_SNX complex (SNX1a, SNX2, SNX4, LEPR)	P49736
DECOY_1091	DECOY_SNX complex (SNX1a, SNX2, SNX4, LEPR)	Q9UKL0
DECOY_1091	DECOY_SNX complex (SNX1a, SNX2, SNX4, LEPR)	Q13191
DECOY_1091	DECOY_SNX complex (SNX1a, SNX2, SNX4, LEPR)	O14920
DECOY_1092	DECOY_PCNA-KU antigen complex	P62158
DECOY_1092	DECOY_PCNA-KU antigen complex	Q13888
DECOY_1092	DECOY_PCNA-KU antigen complex	P48039
DECOY_1093	DECOY_SNX complex (SNX1a, SNX2, SNX4, INSR)	O94973
DECOY_1093	DECOY_SNX complex (SNX1a, SNX2, SNX4, INSR)	Q96GM5
DECOY_1093	DECOY_SNX complex (SNX1a, SNX2, SNX4, INSR)	Q9BU64
DECOY_1093	DECOY_SNX complex (SNX1a, SNX2, SNX4, INSR)	P62318
DECOY_1095	DECOY_SNX complex (SNX1a, SNX2, SNX4, EGFR)	Q14566
DECOY_1095	DECOY_SNX complex (SNX1a, SNX2, SNX4, EGFR)	O00548
DECOY_1095	DECOY_SNX complex (SNX1a, SNX2, SNX4, EGFR)	Q9BZM5
DECOY_1095	DECOY_SNX complex (SNX1a, SNX2, SNX4, EGFR)	P06746
DECOY_1096	DECOY_SNX complex (SNX1,1a,2,4, PDGF receptor)	Q96KQ7
DECOY_1096	DECOY_SNX complex (SNX1,1a,2,4, PDGF receptor)	Q09028
DECOY_1096	DECOY_SNX complex (SNX1,1a,2,4, PDGF receptor)	O15111
DECOY_1096	DECOY_SNX complex (SNX1,1a,2,4, PDGF receptor)	Q99708
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	P14635
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q12933
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q9NX70
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O75771
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q9BVC4
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q96BD5
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O60563
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q9Y618
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O14925
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	P84103
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q96KQ7
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q9Y230
DECOY_1097	DECOY_eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	Q14118
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	P24941
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	Q9BUE0
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	P01137
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	P12755
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	O43561
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	Q14192
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	Q8TDH9
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	Q14714
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	Q8N3C0
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	P14780
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	Q9UBU8
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	Q15393
DECOY_1098-1	DECOY_DNA synthesome complex (13 subunits)-1	P25445
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q14978
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q15369
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q14773
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q92769
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	P28072
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q99967
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	P55072
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q9Y265
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q15388
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	P61981
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q13216
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	P35251
DECOY_1098-2	DECOY_DNA synthesome complex (13 subunits)-2	Q6UN15
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	O75390
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	Q16576
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	P19338
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	Q9UQE7
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	P05556
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	Q00403
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	Q9NZI8
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	Q16602
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	O95777
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	P28221
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	O43678
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	P63267
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	Q8TAQ2
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	P42768
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	P49336
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	Q13415
DECOY_1099-1	DECOY_DNA synthesome complex (17 subunits)-1	P49711
